acted
altered
amused
analyzed
announced
annoyed
answered
anticipated
apologized
appeared
applauded
applied
appreciated
approved
arbitrated
argued
arised
arranged
arrested
arrived
asked
assembled
assessed
put
bit
bid
blew
bent
broke
built
chose
audited
burst
chose
cut
ate
edited
enacted
fit
led
lifted
praised
